epoch,iou_score,loss,val_iou_score,val_loss
0,0.013243437744677067,1.3372455835342407,NA,NA
1,0.033041685819625854,1.0720714330673218,NA,NA
2,0.08691171556711197,0.9081577658653259,NA,NA
3,0.1987069845199585,0.7111902236938477,NA,NA
4,0.35060951113700867,0.5247478485107422,NA,NA
5,0.45765045285224915,0.414313942193985,NA,NA
6,0.5066658854484558,0.37162327766418457,NA,NA
7,0.5533382892608643,0.32320696115493774,NA,NA
8,0.5692158937454224,0.31425902247428894,NA,NA
9,0.5700823664665222,0.31096819043159485,NA,NA
10,0.5993486642837524,0.28514212369918823,NA,NA
11,0.5998954772949219,0.28861579298973083,NA,NA
12,0.6167817711830139,0.2707882523536682,NA,NA
13,0.6351380348205566,0.2546032965183258,NA,NA
14,0.6349002122879028,0.25566565990448,NA,NA
15,0.6366523504257202,0.25445494055747986,NA,NA
16,0.6445093154907227,0.2451927214860916,NA,NA
17,0.6250553727149963,0.26510560512542725,NA,NA
18,0.6518023610115051,0.24044756591320038,NA,NA
19,0.6481878757476807,0.24578402936458588,NA,NA
20,0.6421781182289124,0.2485889494419098,NA,NA
21,0.6347106099128723,0.2543545961380005,NA,NA
22,0.6494314074516296,0.2401381880044937,NA,NA
23,0.6578154563903809,0.23273849487304688,NA,NA
24,0.6335704326629639,0.2567000687122345,NA,NA
25,0.6597590446472168,0.2344283014535904,NA,NA
26,0.649289608001709,0.2399863451719284,NA,NA
27,0.6661966443061829,0.22766776382923126,NA,NA
28,0.6177168488502502,0.2731533646583557,NA,NA
29,0.6359085440635681,0.25396978855133057,NA,NA
30,0.6403419971466064,0.24988995492458344,NA,NA
31,0.6677312254905701,0.22626197338104248,NA,NA
32,0.6476821899414062,0.2447725236415863,NA,NA
33,0.6505995392799377,0.2413095384836197,NA,NA
34,0.6896166205406189,0.2035752832889557,NA,NA
35,0.6853548288345337,0.2096671611070633,NA,NA
36,0.671094536781311,0.22130058705806732,NA,NA
37,0.6700969338417053,0.2235645055770874,NA,NA
38,0.6504854559898376,0.2455424815416336,NA,NA
39,0.6398364901542664,0.2524149715900421,NA,NA
